Time,Level,Message
2023-09-05 01:58:48 | CRITICAL | <HttpError 404 when requesting https://sheets.googleapis.com/v4/spreadsheets/1rt-40Efn8Ba9vRLu6Zrpp4UTwiDli0W5m8FaDJOZGgcq/values/test_list%21A2%3AW?alt=json returned "Requested entity was not found.". Details: "Requested entity was not found.">
2023-09-05 14:59:00 | INFO | Enter timing. User: 5141467887. Message: Шушлвла
2023-09-05 14:59:10 | INFO | Request accepted from client
2023-09-05 14:59:24 | INFO | /start user  - 897892225
2023-09-05 14:59:25 | INFO | Selected city send from
2023-09-05 14:59:27 | INFO | Selected currency for sending
2023-09-05 14:59:30 | INFO | Enter amount. Message: 567675567
2023-09-05 14:59:31 | INFO | Select city send to
2023-09-05 14:59:36 | INFO | Select currency receiving
2023-09-05 14:59:41 | INFO | Request accepted from operator
2023-09-05 14:59:43 | INFO | Enter rate. User: 5141467887. Message: Ггн
2023-09-05 14:59:44 | INFO | Enter timing. User: 5141467887. Message: Ншш
2023-09-05 14:59:47 | INFO | Request accepted from client
2023-09-05 15:00:34 | INFO | Press accept join
2023-09-05 15:00:36 | INFO | Operator press accept join
2023-09-05 15:00:49 | INFO | Instruction sent
2023-09-05 15:00:49 | INFO | /start user  - 5141467887
2023-09-05 15:01:42 | INFO | /start user  - 6311508906
2023-09-05 15:05:37 | INFO | /start user  - 5141467887
2023-09-05 15:05:39 | INFO | Press next page
2023-09-05 15:05:41 | INFO | Press next page
2023-09-05 15:05:52 | INFO | Press cancel join
2023-09-05 15:05:58 | INFO | Press accept join
2023-09-05 15:06:07 | INFO | Operator press accept join
2023-09-05 15:07:34 | INFO | Instruction sent
2023-09-05 15:07:34 | INFO | /start user  - 897892225
2023-09-05 15:11:06 | INFO | Selected city send from
2023-09-05 15:11:08 | INFO | Selected currency for sending
2023-09-05 15:11:11 | INFO | Enter no valid amount. Message: 2312f
2023-09-05 15:11:12 | INFO | Enter amount. Message: 3
2023-09-05 15:11:13 | INFO | Press next page
2023-09-05 15:11:15 | INFO | Press next page
2023-09-05 15:11:16 | INFO | Pressed custom button
2023-09-05 15:11:18 | INFO | No valid sending to city - refre23
2023-09-05 15:11:20 | INFO | Enter sending to city - rtergergfer
2023-09-05 15:11:22 | INFO | Select currency receiving
2023-09-05 15:11:34 | INFO | Request accepted from operator
2023-09-05 15:11:41 | INFO | Enter rate. User: 5141467887. Message: 243
2023-09-05 15:11:42 | INFO | Enter timing. User: 5141467887. Message: Рпср
2023-09-05 15:11:48 | INFO | Request accepted from client
2023-09-05 15:12:50 | INFO | Press accept join
2023-09-05 15:12:58 | INFO | Operator press cancel join
2023-09-05 15:14:12 | INFO | Press accept join
2023-09-05 15:14:19 | INFO | Operator press accept join
2023-09-05 15:14:32 | INFO | Instruction sent
2023-09-05 15:14:32 | INFO | /start user  - 6311508906
2023-09-05 15:14:34 | INFO | Press next page
2023-09-05 15:14:35 | INFO | Press next page
2023-09-05 15:14:37 | INFO | Press preview page
2023-09-05 15:14:38 | INFO | Press next page
2023-09-05 15:14:40 | INFO | Press preview page
2023-09-05 15:14:41 | INFO | Press preview page
2023-09-05 15:14:43 | INFO | Selected city send from
2023-09-05 15:14:52 | INFO | Selected currency for sending
2023-09-05 15:14:56 | INFO | Enter amount. Message: 377227
2023-09-05 15:14:58 | INFO | Select city send to
2023-09-05 15:15:00 | INFO | Select currency receiving
2023-09-05 15:15:08 | INFO | Request accepted from operator
2023-09-05 15:15:14 | INFO | Enter rate. User: 5141467887. Message: Somik
2023-09-05 15:15:18 | INFO | Enter timing. User: 5141467887. Message: Hujomijk
2023-09-05 15:15:24 | INFO | Request accepted from client
2023-09-05 15:16:44 | INFO | /start user  - 897892225
2023-09-05 15:16:46 | INFO | Selected city send from
2023-09-05 15:16:46 | CRITICAL | not enough values to unpack (expected 2, got 1)
2023-09-05 15:16:48 | INFO | Selected currency for sending
2023-09-05 15:16:53 | INFO | Enter amount. Message: 37728
2023-09-05 15:16:56 | INFO | Press next page
2023-09-05 15:16:57 | INFO | Press next page
2023-09-05 15:16:59 | INFO | Press preview page
2023-09-05 15:17:01 | INFO | Press preview page
2023-09-05 15:17:03 | INFO | Select city send to
2023-09-05 15:17:03 | CRITICAL | not enough values to unpack (expected 2, got 1)
2023-09-05 15:17:05 | INFO | Select currency receiving
2023-09-05 15:17:16 | INFO | Request canceled from operator
2023-09-05 15:17:21 | INFO | Request already accepted from operator
2023-09-05 15:17:23 | CRITICAL | Message to delete not found
2023-09-05 15:17:54 | INFO | /start user  - 897892225
2023-09-05 15:18:03 | INFO | Press next page
2023-09-05 15:18:05 | INFO | Press next page
2023-09-05 15:18:07 | INFO | Selected city send from
2023-09-05 15:18:07 | CRITICAL | not enough values to unpack (expected 2, got 1)
2023-09-05 15:18:32 | INFO | Selected currency for sending
2023-09-05 15:18:36 | INFO | Enter amount. Message: 567
2023-09-05 15:18:38 | INFO | Select city send to
2023-09-05 15:18:38 | CRITICAL | not enough values to unpack (expected 2, got 1)
2023-09-05 15:18:39 | INFO | Select currency receiving
2023-09-05 15:18:46 | INFO | /start user  - 897892225
2023-09-05 15:18:49 | INFO | Press next page
2023-09-05 15:18:51 | INFO | Press next page
2023-09-05 15:18:51 | INFO | Selected city send from
2023-09-05 15:18:53 | INFO | Selected currency for sending
2023-09-05 15:18:56 | INFO | Enter amount. Message: 567
2023-09-05 15:18:59 | INFO | Select city send to
2023-09-05 15:19:00 | INFO | Select currency receiving
2023-09-05 15:19:05 | INFO | Request canceled from operator
2023-09-05 15:19:05 | INFO | Request accepted from operator
2023-09-05 15:19:10 | INFO | Enter rate. User: 5141467887. Message: 567
2023-09-05 15:19:14 | INFO | Enter timing. User: 5141467887. Message: Hhi
2023-09-05 15:19:20 | INFO | Request accepted from client
2023-09-05 15:19:43 | INFO | /start user  - 897892225
2023-09-05 15:19:45 | INFO | Press next page
2023-09-05 15:19:46 | INFO | Selected city send from
2023-09-05 15:19:48 | INFO | Selected currency for sending
2023-09-05 15:19:53 | INFO | Enter amount. Message: 5567
2023-09-05 15:19:56 | INFO | Press next page
2023-09-05 15:19:58 | INFO | Select city send to
2023-09-05 15:20:04 | INFO | Select currency receiving
2023-09-05 15:20:10 | INFO | Request accepted from operator
2023-09-05 15:20:13 | INFO | Request already accepted from operator
2023-09-05 15:20:19 | INFO | Enter rate. User: 5141467887. Message: Cgh
2023-09-05 15:20:23 | INFO | Enter timing. User: 5141467887. Message: Gfrfghgc🤪🤪🤪
2023-09-05 15:20:31 | INFO | Request canceled from client
